trialsN,participant,trials.label,trials.cue,trials.thisRepN,trials.thisN,signalOpacity,trials.response,trialsStair
28,1,low_opac_v,Valid,10.0,28.0,0.0,0.0,10
29,1,low_opac_i,Invalid,10.0,29.0,0.0,0.0,10
30,1,low_opac_v,Valid,11.0,30.0,0.0,1.0,11
31,1,high_opac_v,Valid,11.0,31.0,0.0718073717418539,1.0,11
32,1,low_opac_i,Invalid,11.0,32.0,0.2122725407483045,1.0,11
33,1,low_opac_i,Invalid,12.0,33.0,0.2001566132734334,1.0,12
34,1,high_opac_v,Valid,12.0,34.0,0.0,1.0,12
35,1,low_opac_v,Valid,12.0,35.0,0.2372601722363599,1.0,12
36,1,high_opac_v,Valid,13.0,36.0,0.0558473969156652,1.0,13
37,1,low_opac_i,Invalid,13.0,37.0,0.190012058624864,0.0,13
38,1,low_opac_v,Valid,13.0,38.0,0.0,1.0,13
39,1,high_opac_v,Valid,14.0,39.0,0.0492465609798236,1.0,14
40,1,low_opac_i,Invalid,14.0,40.0,0.0,0.0,14
41,1,low_opac_v,Valid,14.0,41.0,0.2195650362655215,1.0,14
42,1,low_opac_v,Valid,15.0,42.0,0.0,0.0,15
43,1,low_opac_i,Invalid,15.0,43.0,0.2550305806845781,0.0,15
44,1,high_opac_v,Valid,15.0,44.0,0.0,0.0,15
45,1,high_opac_v,Valid,16.0,45.0,0.0654081395482286,1.0,16
46,1,low_opac_i,Invalid,16.0,46.0,0.2870600962218925,1.0,16
47,1,low_opac_v,Valid,16.0,47.0,0.0,1.0,16
48,1,low_opac_i,Invalid,17.0,48.0,0.0,0.0,17
49,1,low_opac_v,Valid,17.0,49.0,0.0,1.0,17
50,1,high_opac_v,Valid,17.0,50.0,0.0,0.0,17
51,1,high_opac_v,Valid,18.0,51.0,0.0,1.0,18
52,1,low_opac_i,Invalid,18.0,52.0,0.3067097769751392,1.0,18
53,1,low_opac_v,Valid,18.0,53.0,0.0,1.0,18
54,1,low_opac_v,Valid,19.0,54.0,0.2207804336040392,1.0,19
55,1,high_opac_v,Valid,19.0,55.0,0.0751684741858354,0.0,19
56,1,low_opac_i,Invalid,19.0,56.0,0.3000939496259996,1.0,19
57,1,high_opac_v,Valid,20.0,57.0,0.0933905889006755,1.0,20
58,1,low_opac_i,Invalid,20.0,58.0,0.0,1.0,20
59,1,low_opac_v,Valid,20.0,59.0,0.0,0.0,20
60,1,low_opac_v,Valid,21.0,60.0,0.0,1.0,21
61,1,low_opac_i,Invalid,21.0,61.0,0.0,0.0,21
62,1,high_opac_v,Valid,21.0,62.0,0.0889787055430556,1.0,21
63,1,low_opac_v,Valid,22.0,63.0,0.2310006691721872,1.0,22
64,1,high_opac_v,Valid,22.0,64.0,0.0849961844635647,1.0,22
65,1,low_opac_i,Invalid,22.0,65.0,0.0,0.0,22
66,1,high_opac_v,Valid,23.0,66.0,0.0,1.0,23
67,1,low_opac_v,Valid,23.0,67.0,0.0,1.0,23
68,1,low_opac_i,Invalid,23.0,68.0,0.3290709601625183,1.0,23
69,1,high_opac_v,Valid,24.0,69.0,0.0773238980675746,1.0,24
70,1,low_opac_v,Valid,24.0,70.0,0.0,0.0,24
71,1,low_opac_i,Invalid,24.0,71.0,0.3242293569855843,1.0,24
72,1,low_opac_v,Valid,25.0,72.0,0.0,1.0,25
73,1,low_opac_i,Invalid,25.0,73.0,0.0,1.0,25
74,1,high_opac_v,Valid,25.0,74.0,0.0739431895454532,0.0,25
75,1,high_opac_v,Valid,26.0,75.0,0.0869123073179114,1.0,26
76,1,low_opac_i,Invalid,26.0,76.0,0.0,1.0,26
77,1,low_opac_v,Valid,26.0,77.0,0.2342939335837764,1.0,26
78,1,low_opac_v,Valid,27.0,78.0,0.2306199160668063,1.0,27
79,1,low_opac_i,Invalid,27.0,79.0,0.0,0.0,27
80,1,high_opac_v,Valid,27.0,80.0,0.0,1.0,27
81,1,low_opac_v,Valid,28.0,81.0,0.0,1.0,28
82,1,high_opac_v,Valid,28.0,82.0,0.0806407721570072,1.0,28
83,1,low_opac_i,Invalid,28.0,83.0,0.3265137164001327,1.0,28
84,1,low_opac_v,Valid,29.0,84.0,0.2240140604443391,1.0,29
85,1,low_opac_i,Invalid,29.0,85.0,0.0,1.0,29
86,1,high_opac_v,Valid,29.0,86.0,0.0776471311038382,1.0,29
87,1,low_opac_v,Valid,30.0,87.0,0.0,1.0,30
88,1,low_opac_i,Invalid,30.0,88.0,0.3192711939748725,1.0,30
89,1,high_opac_v,Valid,30.0,89.0,0.0748734349841763,1.0,30
90,1,high_opac_v,Valid,31.0,90.0,0.0,1.0,31
91,1,low_opac_v,Valid,31.0,91.0,0.2176750508887868,1.0,31
92,1,low_opac_i,Invalid,31.0,92.0,0.3159245370620051,1.0,31
93,1,high_opac_v,Valid,32.0,93.0,0.0,1.0,32
94,1,low_opac_v,Valid,32.0,94.0,0.0,1.0,32
95,1,low_opac_i,Invalid,32.0,95.0,0.3128222370502453,1.0,32
96,1,high_opac_v,Valid,33.0,96.0,0.0,1.0,33
97,1,low_opac_i,Invalid,33.0,97.0,0.3096227560094517,1.0,33
98,1,low_opac_v,Valid,33.0,98.0,0.2118629469629048,1.0,33
99,1,high_opac_v,Valid,34.0,99.0,0.0643046124886161,0.0,34
100,1,low_opac_v,Valid,34.0,100.0,0.0,1.0,34
101,1,low_opac_i,Invalid,34.0,101.0,0.3066480602061835,1.0,34
102,1,low_opac_i,Invalid,35.0,102.0,0.3038773747507529,1.0,35
103,1,high_opac_v,Valid,35.0,103.0,0.0,1.0,35
104,1,low_opac_v,Valid,35.0,104.0,0.2063607943797429,1.0,35
105,1,high_opac_v,Valid,36.0,105.0,0.0,1.0,36
106,1,low_opac_v,Valid,36.0,106.0,0.0,1.0,36
107,1,low_opac_i,Invalid,36.0,107.0,0.0,1.0,36
108,1,low_opac_v,Valid,37.0,108.0,0.0,1.0,37
109,1,high_opac_v,Valid,37.0,109.0,0.0,1.0,37
110,1,low_opac_i,Invalid,37.0,110.0,0.0,1.0,37
111,1,high_opac_v,Valid,38.0,111.0,0.0,1.0,38
112,1,low_opac_v,Valid,38.0,112.0,0.0,1.0,38
113,1,low_opac_i,Invalid,38.0,113.0,0.0,1.0,38
114,1,low_opac_i,Invalid,39.0,114.0,0.2933137999533073,1.0,39
115,1,high_opac_v,Valid,39.0,115.0,0.0648327067708386,0.0,39
116,1,low_opac_v,Valid,39.0,116.0,0.0,1.0,39
117,1,low_opac_i,Invalid,40.0,117.0,0.2907901744261023,1.0,40
118,1,high_opac_v,Valid,40.0,118.0,0.0,1.0,40
119,1,low_opac_v,Valid,40.0,119.0,0.0,1.0,40
120,1,low_opac_v,Valid,41.0,120.0,0.1916227264118186,1.0,41
121,1,high_opac_v,Valid,41.0,121.0,0.0710287787386639,0.0,41
122,1,low_opac_i,Invalid,41.0,122.0,0.2883558420817252,1.0,41
123,1,low_opac_v,Valid,42.0,123.0,0.1892851029221998,1.0,42
124,1,low_opac_i,Invalid,42.0,124.0,0.0,1.0,42
125,1,high_opac_v,Valid,42.0,125.0,0.0790156199072564,1.0,42
126,1,high_opac_v,Valid,43.0,126.0,0.0,1.0,43
127,1,low_opac_v,Valid,43.0,127.0,0.1870530362444256,1.0,43
128,1,low_opac_i,Invalid,43.0,128.0,0.0,1.0,43
129,1,low_opac_v,Valid,44.0,129.0,0.18493576244899,1.0,44
130,1,high_opac_v,Valid,44.0,130.0,0.0,1.0,44
131,1,low_opac_i,Invalid,44.0,131.0,0.0,1.0,44
132,1,low_opac_v,Valid,45.0,132.0,0.0,1.0,45
133,1,high_opac_v,Valid,45.0,133.0,0.0735425505474677,1.0,45
134,1,low_opac_i,Invalid,45.0,134.0,0.0,1.0,45
135,1,low_opac_i,Invalid,46.0,135.0,0.0,1.0,46
136,1,high_opac_v,Valid,46.0,136.0,0.0,1.0,46
137,1,low_opac_v,Valid,46.0,137.0,0.1805503710653191,1.0,46
138,1,low_opac_i,Invalid,47.0,138.0,0.2752880613061303,1.0,47
139,1,low_opac_v,Valid,47.0,139.0,0.1784183642038773,1.0,47
140,1,high_opac_v,Valid,47.0,140.0,0.0698789925418634,1.0,47
141,1,high_opac_v,Valid,48.0,141.0,0.0681304923185758,1.0,48
142,1,low_opac_i,Invalid,48.0,142.0,0.0,0.0,48
143,1,low_opac_v,Valid,48.0,143.0,0.0,1.0,48
144,1,low_opac_i,Invalid,49.0,144.0,0.2812489552264745,1.0,49
145,1,low_opac_v,Valid,49.0,145.0,0.1744558524466873,1.0,49
146,1,high_opac_v,Valid,49.0,146.0,0.0664739696844764,0.0,49
147,1,low_opac_i,Invalid,50.0,147.0,0.2792939845775586,1.0,50
148,1,low_opac_v,Valid,50.0,148.0,0.0,1.0,50
149,1,high_opac_v,Valid,50.0,149.0,0.0,1.0,50
150,1,low_opac_v,Valid,51.0,150.0,0.0,1.0,51
151,1,low_opac_i,Invalid,51.0,151.0,0.0,1.0,51
152,1,high_opac_v,Valid,51.0,152.0,0.0,1.0,51
153,1,high_opac_v,Valid,52.0,153.0,0.0,1.0,52
154,1,low_opac_v,Valid,52.0,154.0,0.0,1.0,52
155,1,low_opac_i,Invalid,52.0,155.0,0.0,1.0,52
156,1,low_opac_v,Valid,53.0,156.0,0.1664992615724717,1.0,53
157,1,high_opac_v,Valid,53.0,157.0,0.0,1.0,53
158,1,low_opac_i,Invalid,53.0,158.0,0.0,1.0,53
159,1,low_opac_v,Valid,54.0,159.0,0.1646736421968092,1.0,54
160,1,low_opac_i,Invalid,54.0,160.0,0.0,1.0,54
161,1,high_opac_v,Valid,54.0,161.0,0.0,1.0,54
162,1,high_opac_v,Valid,55.0,162.0,0.0,1.0,55
163,1,low_opac_i,Invalid,55.0,163.0,0.2703786805889181,1.0,55
164,1,low_opac_v,Valid,55.0,164.0,0.1627395319284652,1.0,55
165,1,high_opac_v,Valid,56.0,165.0,0.0642544110519128,1.0,56
166,1,low_opac_v,Valid,56.0,166.0,0.1608341952351044,1.0,56
167,1,low_opac_i,Invalid,56.0,167.0,0.268632403780309,1.0,56
168,1,high_opac_v,Valid,57.0,168.0,0.0627737951261185,1.0,57
169,1,low_opac_i,Invalid,57.0,169.0,0.2669733134530585,0.0,57
170,1,low_opac_v,Valid,57.0,170.0,0.0,0.0,57
171,1,low_opac_v,Valid,58.0,171.0,0.1663875271136808,1.0,58
172,1,low_opac_i,Invalid,58.0,172.0,0.2738819376596991,1.0,58
173,1,high_opac_v,Valid,58.0,173.0,0.061314868586674,0.0,58
174,1,low_opac_v,Valid,59.0,174.0,0.0,1.0,59
175,1,high_opac_v,Valid,59.0,175.0,0.0,1.0,59
176,1,low_opac_i,Invalid,59.0,176.0,0.2722661650229567,1.0,59
177,1,low_opac_v,Valid,60.0,177.0,0.0,1.0,60
178,1,low_opac_i,Invalid,60.0,178.0,0.0,1.0,60
179,1,high_opac_v,Valid,60.0,179.0,0.0656401071401185,0.0,60
180,1,high_opac_v,Valid,61.0,180.0,0.0713824262047517,0.0,61
181,1,low_opac_i,Invalid,61.0,181.0,0.0,1.0,61
182,1,low_opac_v,Valid,61.0,182.0,0.1613663978522139,1.0,61
183,1,low_opac_v,Valid,62.0,183.0,0.1596780122889273,1.0,62
184,1,high_opac_v,Valid,62.0,184.0,0.0,1.0,62
185,1,low_opac_i,Invalid,62.0,185.0,0.0,1.0,62
186,1,high_opac_v,Valid,63.0,186.0,0.0754355494503123,0.0,63
187,1,low_opac_i,Invalid,63.0,187.0,0.0,1.0,63
188,1,low_opac_v,Valid,63.0,188.0,0.1580184218464078,1.0,63
189,1,high_opac_v,Valid,64.0,189.0,0.0,1.0,64
190,1,low_opac_v,Valid,64.0,190.0,0.1564309564941307,1.0,64
191,1,low_opac_i,Invalid,64.0,191.0,0.0,1.0,64
192,1,low_opac_i,Invalid,65.0,192.0,0.2632584518403765,1.0,65
193,1,high_opac_v,Valid,65.0,193.0,0.0,1.0,65
194,1,low_opac_v,Valid,65.0,194.0,0.0,1.0,65
195,1,high_opac_v,Valid,66.0,195.0,0.0,1.0,66
196,1,low_opac_i,Invalid,66.0,196.0,0.2618014719142491,1.0,66
197,1,low_opac_v,Valid,66.0,197.0,0.0,1.0,66
198,1,low_opac_v,Valid,67.0,198.0,0.1516558966910034,1.0,67
199,1,low_opac_i,Invalid,67.0,199.0,0.2603531278729904,1.0,67
200,1,high_opac_v,Valid,67.0,200.0,0.0,1.0,67
201,1,low_opac_v,Valid,68.0,201.0,0.1500491902041618,1.0,68
202,1,low_opac_i,Invalid,68.0,202.0,0.2589136695370541,1.0,68
203,1,high_opac_v,Valid,68.0,203.0,0.0759875559563113,0.0,68
204,1,low_opac_v,Valid,69.0,204.0,0.0,1.0,69
205,1,low_opac_i,Invalid,69.0,205.0,0.0,1.0,69
206,1,high_opac_v,Valid,69.0,206.0,0.0,1.0,69
207,1,high_opac_v,Valid,70.0,207.0,0.0798036138659133,0.0,70
208,1,low_opac_i,Invalid,70.0,208.0,0.0,1.0,70
209,1,low_opac_v,Valid,70.0,209.0,0.1468848675679078,1.0,70
210,1,high_opac_v,Valid,71.0,210.0,0.0845063683749586,1.0,71
211,1,low_opac_v,Valid,71.0,211.0,0.0,1.0,71
212,1,low_opac_i,Invalid,71.0,212.0,0.2549379560420101,1.0,71
213,1,low_opac_v,Valid,72.0,213.0,0.1439297965699275,1.0,72
214,1,low_opac_i,Invalid,72.0,214.0,0.0,1.0,72
215,1,high_opac_v,Valid,72.0,215.0,0.0833710198077271,0.0,72
216,1,low_opac_i,Invalid,73.0,216.0,0.2522386654619046,1.0,73
217,1,low_opac_v,Valid,73.0,217.0,0.0,1.0,73
218,1,high_opac_v,Valid,73.0,218.0,0.087720887546781,0.0,73
219,1,high_opac_v,Valid,74.0,219.0,0.0923622176530535,0.0,74
220,1,low_opac_i,Invalid,74.0,220.0,0.0,1.0,74
221,1,low_opac_v,Valid,74.0,221.0,0.1407975317395177,1.0,74
222,1,low_opac_v,Valid,75.0,222.0,0.1392076814839581,1.0,75
223,1,low_opac_i,Invalid,75.0,223.0,0.0,1.0,75
224,1,high_opac_v,Valid,75.0,224.0,0.0966252561556789,1.0,75
0,10,low_opac_v,Valid,1.0,0.0,0.0,0.0,1
1,10,low_opac_i,Invalid,1.0,1.0,0.0,0.0,1
2,10,high_opac_v,Valid,1.0,2.0,0.01,0.0,1
3,10,low_opac_i,Invalid,2.0,3.0,1.0,1.0,2
4,10,low_opac_v,Valid,2.0,4.0,1.0,1.0,2
5,10,high_opac_v,Valid,2.0,5.0,1.0,1.0,2
6,10,high_opac_v,Valid,3.0,6.0,0.6092784667527542,1.0,3
7,10,low_opac_v,Valid,3.0,7.0,0.8091950431803865,1.0,3
8,10,low_opac_i,Invalid,3.0,8.0,0.0,0.0,3
9,10,high_opac_v,Valid,4.0,9.0,0.0,1.0,4
10,10,low_opac_i,Invalid,4.0,10.0,0.0,0.0,4
11,10,low_opac_v,Valid,4.0,11.0,0.0,1.0,4
12,10,low_opac_i,Invalid,5.0,12.0,0.0,1.0,5
13,10,high_opac_v,Valid,5.0,13.0,0.3073330120243674,1.0,5
14,10,low_opac_v,Valid,5.0,14.0,0.0,0.0,5
15,10,high_opac_v,Valid,6.0,15.0,0.0,0.0,6
16,10,low_opac_i,Invalid,6.0,16.0,1.0,1.0,6
17,10,low_opac_v,Valid,6.0,17.0,0.0,0.0,6
18,10,high_opac_v,Valid,7.0,18.0,0.0,1.0,7
19,10,low_opac_i,Invalid,7.0,19.0,0.0,1.0,7
20,10,low_opac_v,Valid,7.0,20.0,0.0,1.0,7
21,10,low_opac_i,Invalid,8.0,21.0,0.0,1.0,8
22,10,low_opac_v,Valid,8.0,22.0,0.8195719770587391,1.0,8
23,10,high_opac_v,Valid,8.0,23.0,0.0,1.0,8
24,10,high_opac_v,Valid,9.0,24.0,0.0,1.0,9
25,10,low_opac_i,Invalid,9.0,25.0,1.0,1.0,9
26,10,low_opac_v,Valid,9.0,26.0,0.801885058781852,1.0,9
27,10,low_opac_i,Invalid,10.0,27.0,0.989137825083056,1.0,10
28,10,high_opac_v,Valid,10.0,28.0,0.2926922083521761,1.0,10
29,10,low_opac_v,Valid,10.0,29.0,0.0,1.0,10
30,10,high_opac_v,Valid,11.0,30.0,0.0,1.0,11
31,10,low_opac_i,Invalid,11.0,31.0,0.0,1.0,11
32,10,low_opac_v,Valid,11.0,32.0,0.0,1.0,11
33,10,high_opac_v,Valid,12.0,33.0,0.2626518728015489,1.0,12
34,10,low_opac_i,Invalid,12.0,34.0,0.0,1.0,12
35,10,low_opac_v,Valid,12.0,35.0,0.7627489357743621,1.0,12
36,10,low_opac_v,Valid,13.0,36.0,0.0,1.0,13
37,10,high_opac_v,Valid,13.0,37.0,0.249477369630389,1.0,13
38,10,low_opac_i,Invalid,13.0,38.0,0.0,1.0,13
39,10,high_opac_v,Valid,14.0,39.0,0.2375349778682454,1.0,14
40,10,low_opac_v,Valid,14.0,40.0,0.7427338507838532,1.0,14
41,10,low_opac_i,Invalid,14.0,41.0,0.9480132164708316,1.0,14
42,10,low_opac_i,Invalid,15.0,42.0,0.9387789419560328,1.0,15
43,10,low_opac_v,Valid,15.0,43.0,0.0,1.0,15
44,10,high_opac_v,Valid,15.0,44.0,0.2264595136351186,1.0,15
45,10,low_opac_v,Valid,16.0,45.0,0.7252784915913953,1.0,16
46,10,low_opac_i,Invalid,16.0,46.0,0.0,1.0,16
47,10,high_opac_v,Valid,16.0,47.0,0.2159632677866864,1.0,16
48,10,low_opac_i,Invalid,17.0,48.0,0.9201287905672269,1.0,17
49,10,high_opac_v,Valid,17.0,49.0,0.0,1.0,17
50,10,low_opac_v,Valid,17.0,50.0,0.7177421560020779,1.0,17
51,10,low_opac_v,Valid,18.0,51.0,0.7103856815585479,1.0,18
52,10,high_opac_v,Valid,18.0,52.0,0.0,1.0,18
53,10,low_opac_i,Invalid,18.0,53.0,0.0,1.0,18
54,10,low_opac_i,Invalid,19.0,54.0,0.0,1.0,19
55,10,high_opac_v,Valid,19.0,55.0,0.0,1.0,19
56,10,low_opac_v,Valid,19.0,56.0,0.0,1.0,19
57,10,low_opac_i,Invalid,20.0,57.0,0.0,1.0,20
58,10,high_opac_v,Valid,20.0,58.0,0.1757326081914794,1.0,20
59,10,low_opac_v,Valid,20.0,59.0,0.6957579869764627,1.0,20
60,10,high_opac_v,Valid,21.0,60.0,0.0,1.0,21
61,10,low_opac_v,Valid,21.0,61.0,0.689038224405368,1.0,21
62,10,low_opac_i,Invalid,21.0,62.0,0.0,1.0,21
63,10,high_opac_v,Valid,22.0,63.0,0.0,1.0,22
64,10,low_opac_v,Valid,22.0,64.0,0.0,1.0,22
65,10,low_opac_i,Invalid,22.0,65.0,0.0,1.0,22
66,10,high_opac_v,Valid,23.0,66.0,0.1407306509344952,1.0,23
67,10,low_opac_i,Invalid,23.0,67.0,0.0,1.0,23
68,10,low_opac_v,Valid,23.0,68.0,0.0,1.0,23
69,10,high_opac_v,Valid,24.0,69.0,0.1255122262285729,1.0,24
70,10,low_opac_v,Valid,24.0,70.0,0.668412837546111,1.0,24
71,10,low_opac_i,Invalid,24.0,71.0,0.8350104436577546,1.0,24
72,10,high_opac_v,Valid,25.0,72.0,0.1079621025290214,0.0,25
73,10,low_opac_v,Valid,25.0,73.0,0.0,1.0,25
74,10,low_opac_i,Invalid,25.0,74.0,0.8204180724508334,0.0,25
75,10,low_opac_i,Invalid,26.0,75.0,0.0,1.0,26
76,10,high_opac_v,Valid,26.0,76.0,0.1612012895861075,1.0,26
77,10,low_opac_v,Valid,26.0,77.0,0.6540474634577081,1.0,26
78,10,low_opac_v,Valid,27.0,78.0,0.0,1.0,27
79,10,high_opac_v,Valid,27.0,79.0,0.0,1.0,27
80,10,low_opac_i,Invalid,27.0,80.0,0.8605873768433395,1.0,27
81,10,high_opac_v,Valid,28.0,81.0,0.0,1.0,28
82,10,low_opac_v,Valid,28.0,82.0,0.0,1.0,28
83,10,low_opac_i,Invalid,28.0,83.0,0.8524493036877849,1.0,28
84,10,high_opac_v,Valid,29.0,84.0,0.1417422830725435,1.0,29
85,10,low_opac_i,Invalid,29.0,85.0,0.8442666310741265,0.0,29
86,10,low_opac_v,Valid,29.0,86.0,0.6305476247829618,1.0,29
87,10,high_opac_v,Valid,30.0,87.0,0.0,1.0,30
88,10,low_opac_i,Invalid,30.0,88.0,0.87180483438869,1.0,30
89,10,low_opac_v,Valid,30.0,89.0,0.6217660985375267,1.0,30
90,10,low_opac_v,Valid,31.0,90.0,0.6123692173045268,1.0,31
91,10,low_opac_i,Invalid,31.0,91.0,0.8660265880995083,1.0,31
92,10,high_opac_v,Valid,31.0,92.0,0.0,1.0,31
93,10,low_opac_v,Valid,32.0,93.0,0.6023657032045706,1.0,32
94,10,high_opac_v,Valid,32.0,94.0,0.1219309707006167,0.0,32
95,10,low_opac_i,Invalid,32.0,95.0,0.8606388223126384,1.0,32
96,10,low_opac_i,Invalid,33.0,96.0,0.8550574591827769,1.0,33
97,10,high_opac_v,Valid,33.0,97.0,0.0,1.0,33
98,10,low_opac_v,Valid,33.0,98.0,0.5918205425525981,1.0,33
99,10,low_opac_v,Valid,34.0,99.0,0.580833783504388,1.0,34
100,10,low_opac_i,Invalid,34.0,100.0,0.8498819889317168,1.0,34
101,10,high_opac_v,Valid,34.0,101.0,0.1420077475803657,0.0,34
102,10,low_opac_i,Invalid,35.0,102.0,0.0,1.0,35
103,10,low_opac_v,Valid,35.0,103.0,0.5694663589246245,1.0,35
104,10,high_opac_v,Valid,35.0,104.0,0.1587507985381859,0.0,35
105,10,high_opac_v,Valid,36.0,105.0,0.1730679621538768,1.0,36
106,10,low_opac_i,Invalid,36.0,106.0,0.0,1.0,36
107,10,low_opac_v,Valid,36.0,107.0,0.0,1.0,36
108,10,low_opac_i,Invalid,37.0,108.0,0.834273940983929,1.0,37
109,10,low_opac_v,Valid,37.0,109.0,0.0,1.0,37
110,10,high_opac_v,Valid,37.0,110.0,0.1697876507868256,1.0,37
111,10,low_opac_v,Valid,38.0,111.0,0.5324773051854634,1.0,38
112,10,low_opac_i,Invalid,38.0,112.0,0.8292640146110122,1.0,38
113,10,high_opac_v,Valid,38.0,113.0,0.0,1.0,38
114,10,high_opac_v,Valid,39.0,114.0,0.1637352725865735,1.0,39
115,10,low_opac_v,Valid,39.0,115.0,0.5167696936835773,1.0,39
116,10,low_opac_i,Invalid,39.0,116.0,0.8246352830963333,1.0,39
117,10,low_opac_i,Invalid,40.0,117.0,0.0,1.0,40
118,10,high_opac_v,Valid,40.0,118.0,0.0,1.0,40
119,10,low_opac_v,Valid,40.0,119.0,0.0,1.0,40
120,10,low_opac_i,Invalid,41.0,120.0,0.815607012468974,1.0,41
121,10,low_opac_v,Valid,41.0,121.0,0.4756402835902261,1.0,41
122,10,high_opac_v,Valid,41.0,122.0,0.0,1.0,41
123,10,high_opac_v,Valid,42.0,123.0,0.154942692830351,1.0,42
124,10,low_opac_i,Invalid,42.0,124.0,0.8115772558952676,1.0,42
125,10,low_opac_v,Valid,42.0,125.0,0.4464278972917432,1.0,42
126,10,low_opac_v,Valid,43.0,126.0,0.0,1.0,43
127,10,low_opac_i,Invalid,43.0,127.0,0.8074255353484718,1.0,43
128,10,high_opac_v,Valid,43.0,128.0,0.0,1.0,43
129,10,low_opac_i,Invalid,44.0,129.0,0.0,1.0,44
130,10,high_opac_v,Valid,44.0,130.0,0.0,1.0,44
131,10,low_opac_v,Valid,44.0,131.0,0.0,1.0,44
132,10,high_opac_v,Valid,45.0,132.0,0.1465314999529937,1.0,45
133,10,low_opac_i,Invalid,45.0,133.0,0.0,1.0,45
134,10,low_opac_v,Valid,45.0,134.0,0.0,1.0,45
135,10,low_opac_v,Valid,46.0,135.0,0.01,0.0,46
136,10,low_opac_i,Invalid,46.0,136.0,0.0,0.0,46
137,10,high_opac_v,Valid,46.0,137.0,0.0,1.0,46
138,10,low_opac_v,Valid,47.0,138.0,0.3251750437618917,1.0,47
139,10,high_opac_v,Valid,47.0,139.0,0.1412751364097188,1.0,47
140,10,low_opac_i,Invalid,47.0,140.0,0.0,1.0,47
141,10,low_opac_v,Valid,48.0,141.0,0.2758882734685183,1.0,48
142,10,low_opac_i,Invalid,48.0,142.0,0.8074891332871766,1.0,48
143,10,high_opac_v,Valid,48.0,143.0,0.0,1.0,48
144,10,low_opac_v,Valid,49.0,144.0,0.1974329445053732,1.0,49
145,10,high_opac_v,Valid,49.0,145.0,0.0,1.0,49
146,10,low_opac_i,Invalid,49.0,146.0,0.8044647309494226,1.0,49
147,10,low_opac_v,Valid,50.0,147.0,0.1273921638690283,0.0,50
148,10,low_opac_i,Invalid,50.0,148.0,0.8013396011014475,1.0,50
149,10,high_opac_v,Valid,50.0,149.0,0.133662626796843,0.0,50
150,10,low_opac_v,Valid,51.0,150.0,0.0,1.0,51
151,10,high_opac_v,Valid,51.0,151.0,0.0,1.0,51
152,10,low_opac_i,Invalid,51.0,152.0,0.7983240869182491,1.0,51
153,10,low_opac_v,Valid,52.0,153.0,0.0,1.0,52
154,10,low_opac_i,Invalid,52.0,154.0,0.7954909543902748,1.0,52
155,10,high_opac_v,Valid,52.0,155.0,0.141086789984949,0.0,52
156,10,low_opac_i,Invalid,53.0,156.0,0.0,1.0,53
157,10,high_opac_v,Valid,53.0,157.0,0.0,1.0,53
158,10,low_opac_v,Valid,53.0,158.0,0.2191016699621352,1.0,53
159,10,low_opac_v,Valid,54.0,159.0,0.1944880425680356,0.0,54
160,10,low_opac_i,Invalid,54.0,160.0,0.7899698675318807,1.0,54
161,10,high_opac_v,Valid,54.0,161.0,0.147837615190007,1.0,54
162,10,low_opac_i,Invalid,55.0,162.0,0.0,1.0,55
163,10,high_opac_v,Valid,55.0,163.0,0.1458698813006043,1.0,55
