trials.label,trials.startVal,trials.maxVal,trials.minVal,trials.startValSd,trials.pthreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.stepSize,trials.range,trials.cue,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepType,trials.intensity,signalOpacity,level,trials.response,stair_eye_ok,nTrial,position,validity,Stimulus,orientation,response_key,response_rt,response_correct,confidence,confidence_rt,eye_ok,trial_rep,participant,session,date,expName,psychopyVersion,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,12,33,start,lin,0.17468021776316672,0,0.17468021776316672,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,12,34,start,lin,0.24793476395878253,0.24793476395878253,0.24793476395878253,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,12,35,start,lin,0.01,0.01,0.01,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,13,36,start,lin,0.16475639416193197,0,0.16475639416193197,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,13,37,start,lin,0.28133654180758816,0,0.28133654180758816,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,13,38,start,lin,0.04048073168679477,0.04048073168679477,0.04048073168679477,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,14,39,start,lin,0.06602339258893232,0.06602339258893232,0.06602339258893232,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,14,40,start,lin,0.1557689140282926,0,0.1557689140282926,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,14,41,start,lin,0.27345341598799755,0,0.27345341598799755,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,15,42,start,lin,0.06008085598632153,0,0.06008085598632153,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,15,43,start,lin,0.14810321758691442,0.14810321758691442,0.14810321758691442,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,15,44,start,lin,0.26612432704000816,0.26612432704000816,0.26612432704000816,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,16,45,start,lin,0.1761125698541988,0.1761125698541988,0.1761125698541988,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,16,46,start,lin,0.05442950720706969,0.05442950720706969,0.05442950720706969,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,16,47,start,lin,0.2597556051147936,0,0.2597556051147936,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,17,48,start,lin,0.16985527889903965,0.16985527889903965,0.16985527889903965,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,17,49,start,lin,0.07446741291899295,0,0.07446741291899295,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,17,50,start,lin,0.25366230238914866,0.25366230238914866,0.25366230238914866,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,18,51,start,lin,0.0936222368070386,0,0.0936222368070386,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,18,52,start,lin,0.16386507936704053,0,0.16386507936704053,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,18,53,start,lin,0.24774512591834513,0.24774512591834513,0.24774512591834513,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,19,54,start,lin,0.112317334877734,0.112317334877734,0.112317334877734,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,19,55,start,lin,0.24246095242100021,0,0.24246095242100021,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,19,56,start,lin,0.15804648315643907,0,0.15804648315643907,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,20,57,start,lin,0.23721822618004731,0,0.23721822618004731,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,20,58,start,lin,0.15285051337148964,0,0.15285051337148964,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,20,59,start,lin,0.10748152570978599,0,0.10748152570978599,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,21,60,start,lin,0.2565187082151391,0,0.2565187082151391,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,21,61,start,lin,0.10317625432993675,0.10317625432993675,0.10317625432993675,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,21,62,start,lin,0.1476968380397753,0,0.1476968380397753,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,22,63,start,lin,0.25225475775923434,0,0.25225475775923434,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,22,64,start,lin,0.11934180610414846,0.11934180610414846,0.11934180610414846,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,22,65,start,lin,0.14303601903727203,0,0.14303601903727203,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,23,66,start,lin,0.13834697766126086,0,0.13834697766126086,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,23,67,start,lin,0.1153255058608604,0.1153255058608604,0.1153255058608604,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,23,68,start,lin,0.24795071275544892,0.24795071275544892,0.24795071275544892,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,24,69,start,lin,0.24401987539596273,0.24401987539596273,0.24401987539596273,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,24,70,start,lin,0.13405650619982634,0.13405650619982634,0.13405650619982634,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,24,71,start,lin,0.13114494701678212,0.13114494701678212,0.13114494701678212,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,25,72,start,lin,0.24003310490057916,0.24003310490057916,0.24003310490057916,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,25,73,start,lin,0.12734167843803157,0.12734167843803157,0.12734167843803157,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,25,74,start,lin,0.129714842733674,0,0.129714842733674,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,26,75,start,lin,0.12388722626244102,0,0.12388722626244102,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,26,76,start,lin,0.23631564120020276,0,0.23631564120020276,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,26,77,start,lin,0.1456136878969555,0,0.1456136878969555,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,27,78,start,lin,0.2508449583220882,0.2508449583220882,0.2508449583220882,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,27,79,start,lin,0.13709895706238517,0,0.13709895706238517,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,27,80,start,lin,0.16057813081864727,0.16057813081864727,0.16057813081864727,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,28,81,start,lin,0.2474859940181829,0.2474859940181829,0.2474859940181829,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,28,82,start,lin,0.15712570828951863,0,0.15712570828951863,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,28,83,start,lin,0.1507208108408738,0,0.1507208108408738,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,29,84,start,lin,0.17053602175332283,0,0.17053602175332283,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,29,85,start,lin,0.16380953213574828,0,0.16380953213574828,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,29,86,start,lin,0.2443787975347479,0.2443787975347479,0.2443787975347479,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,30,87,start,lin,0.24118746773482774,0,0.24118746773482774,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,30,88,start,lin,0.1764327800817516,0,0.1764327800817516,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,30,89,start,lin,0.18301565710949652,0,0.18301565710949652,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,31,90,start,lin,0.25305620249183475,0.25305620249183475,0.25305620249183475,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,31,91,start,lin,0.17992528184328374,0.17992528184328374,0.17992528184328374,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,31,92,start,lin,0.17336442523070916,0.17336442523070916,0.17336442523070916,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,32,93,start,lin,0.2501491062167862,0,0.2501491062167862,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,32,94,start,lin,0.17703588367042467,0.17703588367042467,0.17703588367042467,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,32,95,start,lin,0.17022022267947975,0.17022022267947975,0.17022022267947975,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,33,96,start,lin,0.1743454407145588,0.1743454407145588,0.1743454407145588,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,33,97,start,lin,0.24739360744304145,0,0.24739360744304145,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,33,98,start,lin,0.1673015700873275,0.1673015700873275,0.1673015700873275,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,34,99,start,lin,0.17156774883371748,0.17156774883371748,0.17156774883371748,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,34,100,start,lin,0.16460222769321084,0.16460222769321084,0.16460222769321084,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,34,101,start,lin,0.24481981664058625,0.24481981664058625,0.24481981664058625,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,35,102,start,lin,0.16183246566819143,0,0.16183246566819143,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,35,103,start,lin,0.16889711086420922,0.16889711086420922,0.16889711086420922,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,35,104,start,lin,0.2421575399256643,0,0.2421575399256643,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,36,105,start,lin,0.23958014335621838,0.23958014335621838,0.23958014335621838,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,36,106,start,lin,0.1664003937625327,0,0.1664003937625327,0,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,36,107,start,lin,0.17215541983854382,0.17215541983854382,0.17215541983854382,1,True,,,,,,,,,,,,,16,A,2023-09-13_10h41.26.185,exp3,2022.2.2,
