trials.label,trials.startVal,trials.maxVal,trials.minVal,trials.startValSd,trials.pthreshold,trials.beta,trials.delta,trials.gamma,trials.grain,trials.stepSize,trials.range,trials.cue,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepType,trials.intensity,signalOpacity,stair_response_correct,level,trials.response,stair_eye_ok,nTrial,position,validity,Stimulus,orientation,response_key,response_rt,response_correct,confidence,confidence_rt,eye_ok,trial_rep,participant,session,date,expName,psychopyVersion,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,7,18,start,lin,0.10410764613410528,0.10410764613410528,1,0.10410764613410528,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,7,19,start,lin,0.1783883928663719,0,1,0.1783883928663719,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,7,20,start,lin,0.14521080678131015,0.14521080678131015,1,0.14521080678131015,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,8,21,start,lin,0.06939770050553568,0,1,0.06939770050553568,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,8,22,start,lin,0.12730956115660075,0,1,0.12730956115660075,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,8,23,start,lin,0.13459290957572173,0,1,0.13459290957572173,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,9,24,start,lin,0.09461515961891341,0.09461515961891341,1,0.09461515961891341,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,9,25,start,lin,0.03562832594001342,0.03562832594001342,0,0.03562832594001342,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,9,26,start,lin,0.11237162559530067,0.11237162559530067,1,0.11237162559530067,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,10,27,start,lin,0.05620518288249825,0.05620518288249825,1,0.05620518288249825,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,10,28,start,lin,0.0990055231818932,0.0990055231818932,1,0.0990055231818932,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,10,29,start,lin,0.12109348043581553,0,1,0.12109348043581553,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,11,30,start,lin,0.08742720975672519,0,0,0.08742720975672519,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,11,31,start,lin,0.017218684157691948,0,1,0.017218684157691948,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,11,32,start,lin,0.10732116846540846,0,1,0.10732116846540846,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,12,33,start,lin,0.09544348418602827,0,1,0.09544348418602827,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,12,34,start,lin,0.01,0.01,0,0.01,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,12,35,start,lin,0.12612482153839238,0,0,0.12612482153839238,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,13,36,start,lin,0.1591710767649038,0.1591710767649038,1,0.1591710767649038,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,13,37,start,lin,0.0859138998939664,0.0859138998939664,1,0.0859138998939664,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,13,38,start,lin,0.08485533269586532,0.08485533269586532,0,0.08485533269586532,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,14,39,start,lin,0.15137018510344405,0,0,0.15137018510344405,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,14,40,start,lin,0.07373127442923567,0.07373127442923567,0,0.07373127442923567,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,14,41,start,lin,0.12025820935074916,0,1,0.12025820935074916,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,15,42,start,lin,0.11342409591962659,0,1,0.11342409591962659,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,15,43,start,lin,0.11210651426330731,0.11210651426330731,0,0.11210651426330731,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,15,44,start,lin,0.17845096309990474,0.17845096309990474,1,0.17845096309990474,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,16,45,start,lin,0.1718330567088956,0.1718330567088956,1,0.1718330567088956,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,16,46,start,lin,0.1399932383067447,0,1,0.1399932383067447,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,16,47,start,lin,0.10403673839054374,0,1,0.10403673839054374,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,17,48,start,lin,0.0954837273085709,0.0954837273085709,1,0.0954837273085709,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,17,49,start,lin,0.13332405023434618,0,1,0.13332405023434618,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,17,50,start,lin,0.16559453218329614,0,0,0.16559453218329614,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,18,51,start,lin,0.08815743862447858,0.08815743862447858,0,0.08815743862447858,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,18,52,start,lin,0.18838283787418977,0.18838283787418977,1,0.18838283787418977,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,18,53,start,lin,0.12695647010542982,0,1,0.12695647010542982,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,19,54,start,lin,0.11515650506320278,0.11515650506320278,0,0.11515650506320278,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,19,55,start,lin,0.12134127169437775,0.12134127169437775,1,0.12134127169437775,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,19,56,start,lin,0.1830674437918032,0,1,0.1830674437918032,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,20,57,start,lin,0.1158560452887315,0.1158560452887315,1,0.1158560452887315,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,20,58,start,lin,0.14004809826716227,0,1,0.14004809826716227,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,20,59,start,lin,0.17789084457132767,0,0,0.17789084457132767,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,21,60,start,lin,0.19674962198504412,0.19674962198504412,1,0.19674962198504412,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,21,61,start,lin,0.13427178592389163,0.13427178592389163,1,0.13427178592389163,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,21,62,start,lin,0.11092978689944927,0,1,0.11092978689944927,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,22,63,start,lin,0.10603708169955717,0.10603708169955717,1,0.10603708169955717,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,22,64,start,lin,0.12867713322785626,0,1,0.12867713322785626,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,22,65,start,lin,0.19236597587318585,0,0,0.19236597587318585,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,23,66,start,lin,0.2089775690619035,0.2089775690619035,1,0.2089775690619035,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,23,67,start,lin,0.10159430305008038,0.10159430305008038,0,0.10159430305008038,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,23,68,start,lin,0.12369717460472343,0,1,0.12369717460472343,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,24,69,start,lin,0.2049130257121461,0,1,0.2049130257121461,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,24,70,start,lin,0.11877276255308548,0.11877276255308548,0,0.11877276255308548,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,24,71,start,lin,0.11864966834974433,0,0,0.11864966834974433,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,25,72,start,lin,0.20086342789737457,0.20086342789737457,1,0.20086342789737457,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,25,73,start,lin,0.13478560026809883,0.13478560026809883,1,0.13478560026809883,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,25,74,start,lin,0.1366540310703641,0.1366540310703641,1,0.1366540310703641,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,26,75,start,lin,0.13084466471588307,0,1,0.13084466471588307,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,26,76,start,lin,0.1971301249631179,0,0,0.1971301249631179,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,26,77,start,lin,0.13256196727719016,0,0,0.13256196727719016,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,27,78,start,lin,0.14819768404246994,0,1,0.14819768404246994,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,27,79,start,lin,0.12717533506329315,0,1,0.12717533506329315,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,27,80,start,lin,0.21150836348197324,0,1,0.21150836348197324,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,28,81,start,lin,0.1444505128798933,0,1,0.1444505128798933,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,28,82,start,lin,0.1238042387614191,0,1,0.1238042387614191,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,28,83,start,lin,0.20803294396102337,0.20803294396102337,1,0.20803294396102337,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,29,84,start,lin,0.20485286335403158,0.20485286335403158,1,0.20485286335403158,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,29,85,start,lin,0.14067032712566707,0.14067032712566707,1,0.14067032712566707,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,29,86,start,lin,0.12035375089320166,0,1,0.12035375089320166,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,30,87,start,lin,0.201621201878076,0.201621201878076,1,0.201621201878076,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,30,88,start,lin,0.11711258931272106,0,1,0.11711258931272106,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,30,89,start,lin,0.13715255907731136,0.13715255907731136,1,0.13715255907731136,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,31,90,start,lin,0.11410759313657026,0.11410759313657026,1,0.11410759313657026,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,31,91,start,lin,0.19855944987088847,0.19855944987088847,1,0.19855944987088847,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,31,92,start,lin,0.1339169693093077,0,1,0.1339169693093077,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,32,93,start,lin,0.19573011117369007,0.19573011117369007,1,0.19573011117369007,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,32,94,start,lin,0.13060280021071594,0.13060280021071594,0,0.13060280021071594,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,32,95,start,lin,0.11101129646621877,0.11101129646621877,1,0.11101129646621877,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,33,96,start,lin,0.14293911234173926,0,1,0.14293911234173926,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,33,97,start,lin,0.10805339059390279,0.10805339059390279,1,0.10805339059390279,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,33,98,start,lin,0.19307626971800673,0.19307626971800673,1,0.19307626971800673,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,34,99,start,lin,0.1398919490047029,0,0,0.1398919490047029,0,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,34,100,start,lin,0.10529716162343444,0,1,0.10529716162343444,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,34,101,start,lin,0.19031299690886103,0.19031299690886103,1,0.19031299690886103,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_v,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,0,35,102,start,lin,0.10269090232912648,0,1,0.10269090232912648,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
low_opac_i,0.4,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Invalid,2,35,103,start,lin,0.18769216518274837,0.18769216518274837,1,0.18769216518274837,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
high_opac_v,0.01,1,0.01,3,0.82,3.5,0.01,0,0.01,4,5,Valid,1,35,104,start,lin,0.15138836735677846,0.15138836735677846,1,0.15138836735677846,1,True,,,,,,,,,,,,,32,A,2023-11-16_15h13.43.413,exp3,2022.2.2,
